Year,Population,Mobile phone subscriptions
1960,32670048,0
1961,33666111,0
1962,34683410,0
1963,35721213,0
1964,36780001,0
1965,37858947,0
1966,38958046,0
1967,40072951,0
1968,41193588,0
1969,42307149,0
1970,43404802,0
1971,44484032,0
1972,45548476,0
1973,46603522,0
1974,47657554,0
1975,48718190,0
1976,49785278,0
1977,50861166,0
1978,51959021,0
1979,53095406,0
1980,54281841,0
1981,55522804,0
1982,56814309,0
1983,58148384,0
1984,59512619,0
1985,60896732,0
1986,62293859,0
1987,63701974,0
1988,65120432,0
1989,66550231,0
1990,67988855,0
1991,69436956,0
1992,70883488,800
1993,72300308,4060
1994,73651220,12500
1995,74910462,23500
1996,76068739,68910
1997,77133212,160457
1998,78115712,222700
1999,79035871,328671
2000,79910411,788559
2001,80742500,1251195
2002,81534406,1902388
2003,82301650,2742000
2004,83062819,4960000
2005,83832662,9593200
2006,84617545,18892480
2007,85419588,45024048
2008,86243424,74872310
2009,87092250,98223980
2010,87967655,111570201
2011,88871384,127318045
2012,89801926,131673724
2013,90752593,123735557
2014,91713850,136148124
2015,92677082,120324052
2016,93640435,120600235
2017,94600643,120016181
2018,95545959,140639140
2019,96462108,136230406
2020,97338583,138934626
